grid_id,cell_size_m,centroid_lon,centroid_lat,project_crs,research_aoi_only,nearest_anchor,nearest_anchor_m,nearest_route_evidence,nearest_route_evidence_m,visual_route_evidence,route_evidence_confidence,vegetation_gis_status,terrain_source_status,overall_reconstruction_evidence,research_priority,focus_envelope_heuristic,warning,veg2024_layer_status,veg2024_crs,veg2024_use_note,terrain_best_dem_resolution,evidence_grade_revision
G000_000,250,138.550937,35.431002,EPSG:6676,True,Omuro Cave,10207.5,Fugaku–Narusawa public cave corridor,10948.3,Low,Low,western gap: adjacent Shoji-sheet vegetation GIS retrieval still required,GSI terrain source identified; exact 1m/5m tile coverage not yet locally verified,Low,P3,False,"Cell confidence measures evidence density, not whether the cell is inside the legal/geological/forest boundary.",Available across AOI via MoE Existing Vegetation Map 2024 raster/vector service; polygon source year varies by location (1999-2023),JGD2011 / EPSG:6668 for source polygons; web raster/vector tiles EPSG:3857,Use polygon attributes for biome/vegetation class; do not infer current individual tree positions. Cross-check against current orthophoto.,Unverified per-cell; use GSI hierarchy DEM1A > DEM5A > DEM5B > DEM5C > DEM10B,Prior evidence grade retained until actual DEM/vegetation geometry is ingested; western vegetation discovery gap is now closed at dataset-availability level.
G000_001,250,138.550939,35.433255,EPSG:6676,True,Omuro Cave,10164.4,Fugaku–Narusawa public cave corridor,10832.7,Low,Low,western gap: adjacent Shoji-sheet vegetation GIS retrieval still required,GSI terrain source identified; exact 1m/5m tile coverage not yet locally verified,Low,P3,False,"Cell confidence measures evidence density, not whether the cell is inside the legal/geological/forest boundary.",Available across AOI via MoE Existing Vegetation Map 2024 raster/vector service; polygon source year varies by location (1999-2023),JGD2011 / EPSG:6668 for source polygons; web raster/vector tiles EPSG:3857,Use polygon attributes for biome/vegetation class; do not infer current individual tree positions. Cross-check against current orthophoto.,Unverified per-cell; use GSI hierarchy DEM1A > DEM5A > DEM5B > DEM5C > DEM10B,Prior evidence grade retained until actual DEM/vegetation geometry is ingested; western vegetation discovery gap is now closed at dataset-availability level.
G000_002,250,138.55094,35.435509,EPSG:6676,True,Omuro Cave,10127.4,Fugaku–Narusawa public cave corridor,10721.7,Low,Low,western gap: adjacent Shoji-sheet vegetation GIS retrieval still required,GSI terrain source identified; exact 1m/5m tile coverage not yet locally verified,Low,P3,False,"Cell confidence measures evidence density, not whether the cell is inside the legal/geological/forest boundary.",Available across AOI via MoE Existing Vegetation Map 2024 raster/vector service; polygon source year varies by location (1999-2023),JGD2011 / EPSG:6668 for source polygons; web raster/vector tiles EPSG:3857,Use polygon attributes for biome/vegetation class; do not infer current individual tree positions. Cross-check against current orthophoto.,Unverified per-cell; use GSI hierarchy DEM1A > DEM5A > DEM5B > DEM5C > DEM10B,Prior evidence grade retained until actual DEM/vegetation geometry is ingested; western vegetation discovery gap is now closed at dataset-availability level.
G000_003,250,138.550942,35.437762,EPSG:6676,True,Omuro Cave,10096.4,Fugaku–Narusawa public cave corridor,10615.3,Low,Low,western gap: adjacent Shoji-sheet vegetation GIS retrieval still required,GSI terrain source identified; exact 1m/5m tile coverage not yet locally verified,Low,P3,False,"Cell confidence measures evidence density, not whether the cell is inside the legal/geological/forest boundary.",Available across AOI via MoE Existing Vegetation Map 2024 raster/vector service; polygon source year varies by location (1999-2023),JGD2011 / EPSG:6668 for source polygons; web raster/vector tiles EPSG:3857,Use polygon attributes for biome/vegetation class; do not infer current individual tree positions. Cross-check against current orthophoto.,Unverified per-cell; use GSI hierarchy DEM1A > DEM5A > DEM5B > DEM5C > DEM10B,Prior evidence grade retained until actual DEM/vegetation geometry is ingested; western vegetation discovery gap is now closed at dataset-availability level.
G000_004,250,138.550943,35.440016,EPSG:6676,True,Omuro Cave,10071.5,Fugaku–Narusawa public cave corridor,10513.9,Low,Low,western gap: adjacent Shoji-sheet vegetation GIS retrieval still required,GSI terrain source identified; exact 1m/5m tile coverage not yet locally verified,Low,P3,False,"Cell confidence measures evidence density, not whether the cell is inside the legal/geological/forest boundary.",Available across AOI via MoE Existing Vegetation Map 2024 raster/vector service; polygon source year varies by location (1999-2023),JGD2011 / EPSG:6668 for source polygons; web raster/vector tiles EPSG:3857,Use polygon attributes for biome/vegetation class; do not infer current individual tree positions. Cross-check against current orthophoto.,Unverified per-cell; use GSI hierarchy DEM1A > DEM5A > DEM5B > DEM5C > DEM10B,Prior evidence grade retained until actual DEM/vegetation geometry is ingested; western vegetation discovery gap is now closed at dataset-availability level.
G000_005,250,138.550944,35.442269,EPSG:6676,True,Omuro Cave,10052.8,Fugaku–Narusawa public cave corridor,10417.4,Low,Low,western gap: adjacent Shoji-sheet vegetation GIS retrieval still required,GSI terrain source identified; exact 1m/5m tile coverage not yet locally verified,Low,P3,False,"Cell confidence measures evidence density, not whether the cell is inside the legal/geological/forest boundary.",Available across AOI via MoE Existing Vegetation Map 2024 raster/vector service; polygon source year varies by location (1999-2023),JGD2011 / EPSG:6668 for source polygons; web raster/vector tiles EPSG:3857,Use polygon attributes for biome/vegetation class; do not infer current individual tree positions. Cross-check against current orthophoto.,Unverified per-cell; use GSI hierarchy DEM1A > DEM5A > DEM5B > DEM5C > DEM10B,Prior evidence grade retained until actual DEM/vegetation geometry is ingested; western vegetation discovery gap is now closed at dataset-availability level.
G000_006,250,138.550946,35.444523,EPSG:6676,True,Omuro Cave,10040.2,Fugaku–Narusawa public cave corridor,10326.1,Low,Low,western gap: adjacent Shoji-sheet vegetation GIS retrieval still required,GSI terrain source identified; exact 1m/5m tile coverage not yet locally verified,Low,P3,False,"Cell confidence measures evidence density, not whether the cell is inside the legal/geological/forest boundary.",Available across AOI via MoE Existing Vegetation Map 2024 raster/vector service; polygon source year varies by location (1999-2023),JGD2011 / EPSG:6668 for source polygons; web raster/vector tiles EPSG:3857,Use polygon attributes for biome/vegetation class; do not infer current individual tree positions. Cross-check against current orthophoto.,Unverified per-cell; use GSI hierarchy DEM1A > DEM5A > DEM5B > DEM5C > DEM10B,Prior evidence grade retained until actual DEM/vegetation geometry is ingested; western vegetation discovery gap is now closed at dataset-availability level.
G000_007,250,138.550947,35.446776,EPSG:6676,True,Omuro Cave,10033.9,Fugaku–Narusawa public cave corridor,10240.1,Low,Low,western gap: adjacent Shoji-sheet vegetation GIS retrieval still required,GSI terrain source identified; exact 1m/5m tile coverage not yet locally verified,Low,P3,False,"Cell confidence measures evidence density, not whether the cell is inside the legal/geological/forest boundary.",Available across AOI via MoE Existing Vegetation Map 2024 raster/vector service; polygon source year varies by location (1999-2023),JGD2011 / EPSG:6668 for source polygons; web raster/vector tiles EPSG:3857,Use polygon attributes for biome/vegetation class; do not infer current individual tree positions. Cross-check against current orthophoto.,Unverified per-cell; use GSI hierarchy DEM1A > DEM5A > DEM5B > DEM5C > DEM10B,Prior evidence grade retained until actual DEM/vegetation geometry is ingested; western vegetation discovery gap is now closed at dataset-availability level.
G000_008,250,138.550949,35.44903,EPSG:6676,True,Omuro Cave,10033.8,Fugaku–Narusawa public cave corridor,10159.6,Low,Low,western gap: adjacent Shoji-sheet vegetation GIS retrieval still required,GSI terrain source identified; exact 1m/5m tile coverage not yet locally verified,Low,P3,False,"Cell confidence measures evidence density, not whether the cell is inside the legal/geological/forest boundary.",Available across AOI via MoE Existing Vegetation Map 2024 raster/vector service; polygon source year varies by location (1999-2023),JGD2011 / EPSG:6668 for source polygons; web raster/vector tiles EPSG:3857,Use polygon attributes for biome/vegetation class; do not infer current individual tree positions. Cross-check against current orthophoto.,Unverified per-cell; use GSI hierarchy DEM1A > DEM5A > DEM5B > DEM5C > DEM10B,Prior evidence grade retained until actual DEM/vegetation geometry is ingested; western vegetation discovery gap is now closed at dataset-availability level.
G000_009,250,138.55095,35.451283,EPSG:6676,True,Omuro Cave,10039.9,Fugaku–Narusawa public cave corridor,10084.5,Low,Low,western gap: adjacent Shoji-sheet vegetation GIS retrieval still required,GSI terrain source identified; exact 1m/5m tile coverage not yet locally verified,Low,P3,False,"Cell confidence measures evidence density, not whether the cell is inside the legal/geological/forest boundary.",Available across AOI via MoE Existing Vegetation Map 2024 raster/vector service; polygon source year varies by location (1999-2023),JGD2011 / EPSG:6668 for source polygons; web raster/vector tiles EPSG:3857,Use polygon attributes for biome/vegetation class; do not infer current individual tree positions. Cross-check against current orthophoto.,Unverified per-cell; use GSI hierarchy DEM1A > DEM5A > DEM5B > DEM5C > DEM10B,Prior evidence grade retained until actual DEM/vegetation geometry is ingested; western vegetation discovery gap is now closed at dataset-availability level.
