title,group,tags,source_page,media_url,notes
038 Mount Fuji and Aokigahara forest (Japan) at sunrise Photo by Giles Laurent.jpg,main,aokigahara; macro / edge / skyline; interior / vegetation,https://commons.wikimedia.org/wiki/File:038_Mount_Fuji_and_Aokigahara_forest_(Japan)_at_sunrise_Photo_by_Giles_Laurent.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/038%20Mount%20Fuji%20and%20Aokigahara%20forest%20(Japan)%20at%20sunrise%20Photo%20by%20Giles%20Laurent.jpg?width=900,"Wikimedia Commons; open source page for author, exact licence, original resolution and any geotags."
Aerial panorama of Mount Fuji from Lake Saiko. June 2023.jpg,main,aokigahara; macro / edge / skyline,https://commons.wikimedia.org/wiki/File:Aerial_panorama_of_Mount_Fuji_from_Lake_Saiko._June_2023.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Aerial%20panorama%20of%20Mount%20Fuji%20from%20Lake%20Saiko.%20June%202023.jpg?width=900,"Wikimedia Commons; open source page for author, exact licence, original resolution and any geotags."
Aerial panorama of Mount Fuji with Saiko Iyashi-no-Sato Nenba in the foreground. June 2023.jpg,main,aokigahara; macro / edge / skyline,https://commons.wikimedia.org/wiki/File:Aerial_panorama_of_Mount_Fuji_with_Saiko_Iyashi-no-Sato_Nenba_in_the_foreground._June_2023.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Aerial%20panorama%20of%20Mount%20Fuji%20with%20Saiko%20Iyashi-no-Sato%20Nenba%20in%20the%20foreground.%20June%202023.jpg?width=900,"Wikimedia Commons; open source page for author, exact licence, original resolution and any geotags."
Aokigahara (suicide forest) + very tired Liz (42885146671).jpg,main,aokigahara; interior / vegetation,https://commons.wikimedia.org/wiki/File:Aokigahara_(suicide_forest)_+_very_tired_Liz_(42885146671).jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Aokigahara%20(suicide%20forest)%20+%20very%20tired%20Liz%20(42885146671).jpg?width=900,"Wikimedia Commons; open source page for author, exact licence, original resolution and any geotags."
Aokigahara 05.jpg,main,aokigahara,https://commons.wikimedia.org/wiki/File:Aokigahara_05.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Aokigahara%2005.jpg?width=900,"Wikimedia Commons; open source page for author, exact licence, original resolution and any geotags."
Aokigahara 2013-11-13 (10863088565).jpg,main,aokigahara,https://commons.wikimedia.org/wiki/File:Aokigahara_2013-11-13_(10863088565).jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Aokigahara%202013-11-13%20(10863088565).jpg?width=900,"Wikimedia Commons; open source page for author, exact licence, original resolution and any geotags."
Aokigahara 2013-11-13 (10863124286).jpg,main,aokigahara,https://commons.wikimedia.org/wiki/File:Aokigahara_2013-11-13_(10863124286).jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Aokigahara%202013-11-13%20(10863124286).jpg?width=900,"Wikimedia Commons; open source page for author, exact licence, original resolution and any geotags."
Aokigahara 2013-11-13 (10863208834).jpg,main,aokigahara,https://commons.wikimedia.org/wiki/File:Aokigahara_2013-11-13_(10863208834).jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Aokigahara%202013-11-13%20(10863208834).jpg?width=900,"Wikimedia Commons; open source page for author, exact licence, original resolution and any geotags."
Aokigahara 2013-11-13 (10863407043).jpg,main,aokigahara,https://commons.wikimedia.org/wiki/File:Aokigahara_2013-11-13_(10863407043).jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Aokigahara%202013-11-13%20(10863407043).jpg?width=900,"Wikimedia Commons; open source page for author, exact licence, original resolution and any geotags."
Aokigahara 2013-11-13 (10863419343).jpg,main,aokigahara,https://commons.wikimedia.org/wiki/File:Aokigahara_2013-11-13_(10863419343).jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Aokigahara%202013-11-13%20(10863419343).jpg?width=900,"Wikimedia Commons; open source page for author, exact licence, original resolution and any geotags."
