id,category,title,authority,date_or_period,resolution,coverage,crs,reconstruction_use,confidence,url,notes
SRC001,vegetation GIS,Existing Vegetation Map 2024 / 現存植生図2024,"Ministry of the Environment, Biodiversity Center of Japan",survey/source polygons 1999-2023; dataset current in 2026,polygon; 876 legend classes; raster/vector tiles z5-15,Japan; Aokigahara fully within published coverage,JGD2011 EPSG:6668 polygons; EPSG:3857 web tiles,Primary vegetation-class zoning and naturalness layer. Attribute 作成年度 preserves source vintage by polygon.,A,https://www.geospatial.jp/ckan/dataset/biodic_veg2024,Do not treat as individual-tree survey or assume all polygons were mapped in 2024.
SRC002,vegetation web tiles,Existing Vegetation Map 2024 raster/vector tiles,"Ministry of the Environment, Biodiversity Center of Japan",current 2026 service,web tile z5-15,Japan,EPSG:3857,Live visual QA overlay in reconstruction atlas.,A,https://www.biodic.go.jp/kiso/vg/tile/veg2024raster/{z}/{x}/{y}.png,Raster tile endpoint documented by G-Spatial dataset catalogue.
SRC003,terrain,GSI DEM hierarchy and tile specification,Geospatial Information Authority of Japan,current 2026,DEM1A ~1 m; DEM5A/B/C ~5 m; DEM10B ~10 m,varies by DEM class; DEM10B nationwide,current download service JGD2024; web tile scheme,Bare-earth terrain source hierarchy. Use the highest available class per cell and retain source metadata.,A,https://cyberjapandata.gsi.go.jp/development/hyokochi.html,GSI states individual tile values may differ between DEM classes and across source boundaries.
SRC004,terrain API,GSI server-side elevation API,Geospatial Information Authority of Japan,current 2026,returns best available source at query point,Japan where elevation available,lon/lat query,Spot-check terrain source class (hsrc) and elevation at control points.,A,https://maps.gsi.go.jp/development/elevation_s.html,"API reports source as 1m laser, 5m laser, 5m photogrammetry, 5C or 10m."
SRC005,route/cave topology,Aokigahara Jukai Eco Tour Guideline schematic,Yamanashi Prefecture,2026 current guidance page; schematic linked by prefecture,"schematic/topological, not survey geometry","Mt Omuro sector, Lake Sai sector, whole-area route relationship",none,"Primary topology source for permitted routes, former haul roads/forest roads and protected caves.",A topology / C geometry,https://www.pref.yamanashi.jp/documents/97765/guidelineryakuzu.pdf,Must be georegistered against GSI and control points; do not trace as metre-accurate geometry.
SRC006,historic route survey,Ancient Fuji pilgrimage routes research report (summary),Yamanashi Prefecture,2026-03-31,route-level historical/current condition description,Fuji pilgrimage routes including Shoji-guchi,mixed/illustrative,Current surface character of Shoji-guchi route; historic route logic; Narusawa road crossing; protected corridor context.,A,https://www.pref.yamanashi.jp/documents/126405/inishie-report-abstract.pdf,"States Shoji-guchi begins at Akaike on south Lake Shoji, runs >17 km to Komitake and climbs nearly 1400 m."
SRC007,visitor route map,Aokigahara surrounding walking-trail map,Yamanashi Prefecture,current public map,visitor map,"Saiko, Ryugu, Fugaku, Narusawa and surrounding trails",schematic,Secondary route and visitor-infrastructure cross-check.,A topology / C geometry,https://www.pref.yamanashi.jp/documents/28200/tebiki.pdf,Useful for current public-route continuity and landmark naming.
SRC008,current visual routes,Aokigahara rediscovery project route materials,Yamanashi Prefecture,2025 event materials published 2026,course leaflets and current photographs,"Three-lake, Shoji and Saiko course families",illustrative,Recent route-specific visual ground truth and human-use context.,A publication / B geometry,https://www.pref.yamanashi.jp/kankou-sgn/jyukaijigyou.html,Official page documents three courses used in November 2025.
SRC009,cave inventory,Fuji lava caves table,"Ministry of Land, Infrastructure, Transport and Tourism – Fuji Sabo Office",current web reference,named cave length and elevation table,Fuji northern-foot cave system,none,Scale/elevation constraints for cave assets and vertical placement.,A,https://www.cbr.mlit.go.jp/fujisabo/bosai/fuji_info/chisiki/a06/index.html,"Includes Karuimizu, Jinza cave variants, Kamaboko, Megane, Fuji cave variants, Saiko cave variants and tourist caves."
SRC010,protected cave description,Jinza Wind Cave incl. Kamaboko and Megane caves,Yamanashi Prefecture cultural-property database,designation 1929; database current,site description and elevation context,upper Aokigahara east of Mt Omuro,none,Protected-cave cluster placement and geomorphological relationship.,A,https://www.pref.yamanashi.jp/bunka/bunkazaihogo/bunkazai_data/yamanashinobunkazai_nb0010.html,"Locates cluster around ~1,260 m elevation and describes lava-flow slope."
SRC011,protected cave description,Motosu Wind Cave,Yamanashi Prefecture cultural-property database,designation 1929; database current,site description; first cave ~494 m,south-west edge of Aokigahara lava flow,none,Western lava-front/cave scale anchor.,A,https://www.pref.yamanashi.jp/bunka/bunkazaihogo/bunkazai_data/yamanashinobunkazai_nb0013.html,Describes local lava surface sloping north 2–7 degrees.
SRC012,protected cave description,Fuji Wind Cave,Yamanashi Prefecture cultural-property database,designation 1929; database current,230+ m length; width/height description,central Aokigahara,none,Controlled-access cave scale/thermal morphology anchor.,A,https://www.pref.yamanashi.jp/bunka/bunkazaihogo/bunkazai_data/yamanashinobunkazai_nb0015.html,Entrance access is controlled; model from legal/remote evidence.
SRC013,geology/terrain visual,Aokigahara lava tunnel topography,Japanese Landform Atlas / Web-GIS,web reference current,3D terrain visualization from GSI elevation/map tiles,Aokigahara and surrounding lakes,visual,Macro lava-flow morphology and cave-distribution sanity check.,B+,https://www.web-gis.jp/GM1000/GM_Red1/GM_Red1-107.html,Secondary visualization built from GSI source data; not a replacement for source terrain.
